"Data Source","World Development Indicators",

"Last Updated Date","2023-10-26",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Armenia","ARM","GDP (current US$)","NY.GDP.MKTP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2256838857.60997","2069870129.87013","1272835453.42634","1201312829.27524","1315158636.67553","1468317435.20148","1596968946.23708","1639492444.76152","1893726437.26462","1845482173.02732","1911563668.85006","2118467913.37873","2376335048.39976","2807061008.69084","3576615240.41616","4900469515.07252","6384452070.74171","9206301264.17572","11662040703.8916","8647937090.63389","9260285762.09704","10142111812.3665","10619320692.8087","11121464429.703","11609513241.0754","10553337527.7745","10546136240.3952","11527458712.6187","12457940705.3088","13619290545.8131","12641698593.7908","13861409968.835","19502783987.8807",
"American Samoa","ASM","GDP (current US$)","NY.GDP.MKTP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","512000000","524000000","509000000","500000000","493000000","518000000","560000000","675000000","573000000","570000000","640000000","638000000","643000000","673000000","671000000","612000000","639000000","647000000","716000000","709000000","",
"Antigua and Barbuda","ATG","GDP (current US$)","NY.GDP.MKTP.CD","","","","","","","","","","","","","","","","","","77496753.7037037","87879341.4814815","109079978.888889","131431026.666667","147841734.444444","164369278.888889","182144092.962963","208372846.296296","240923924.814815","290440140.740741","337174861.851852","398637727.777778","438794788.518519","459470370.37037","481707407.407407","499281481.481481","535174074.074074","589429629.62963","577281481.481481","633729629.62963","680618518.518518","727859259.259259","766200000","826370370.37037","800481481.481481","814381481.481481","856396296.296296","919729629.62963","1022962962.96296","1157662962.96296","1312759259.25926","1370070370.37037","1228329629.62963","1148700000","1137637037.03704","1199948148.14815","1181448148.14815","1249733333.33333","1336692592.59259","1436585185.18519","1467955555.55556","1604770370.37037","1675403703.7037","1416348148.14815","1560518518.51852","1757603703.7037",
"Australia","AUS","GDP (current US$)","NY.GDP.MKTP.CD","18606562979.2829","19682883151.6233","19922563190.0008","21539843448.9597","23801123811.0359","25976164159.3034","27307844372.532","30442724874.4891","32714085238.1793","36683365873.7405","41333606618.3371","45216647240.0896","52042056074.7664","63832158872.5176","88963890935.888","97304383449.406","105060650224.271","110350997935.306","118491577918.812","134898330114.734","149984401114.206","176891907581.563","194037294494.097","177263464407.833","193517245510.16","180634851530.181","182472020145.495","189487824245.633","236152526238.564","299875825286.858","311430632641.087","325981640935.417","325532426233.227","312138139404.16","322809408509.166","368140778140.778","401310823652.743","435613768959.97","399660855999.457","389389647825.542","415844972940.496","379357823192.53","395573025330.447","467497961560.862","614326362213.686","695305000206.729","747907432136.598","854427259166.209","1055686110665.53","928629769751.884","1148569537284.62","1398456161407.85","1546952690139.99","1576329690003.93","1467589901175.46","1350580336316.75","1206562910556.58","1326467487376.42","1428266513154.48","1392218527563.26","1326944627876.87","1552703151616.01","1675418665067.09",
"Austria","AUT","GDP (current US$)","NY.GDP.MKTP.CD","6592693841.18495","7311749633.36229","7756110210.11966","8374175257.73075","9169983885.71185","9994070615.85997","10887682273.1014","11579431668.9165","12440625312.8685","13582798556.2404","15373005557.0257","17858486066.7474","22059612476.9332","29515467706.796","35189299911.6608","40059206763.056","42959976221.5234","51545758887.6863","62052259073.2493","73937296963.4586","82058912997.2346","71034228443.062","71275287569.5733","72121016546.6524","67985344886.8716","69386774408.0872","99036164939.1618","124168442533.74","133339397080.129","133105805512.22","166463386179.354","173794177961.108","195078126721.763","190379720809.18","203535242741.838","241038283062.645","237250948791.266","212790348404.555","218259904401.956","217259147049.954","197289625479.906","197508773215.323","214394866675.24","262273631180.054","301457562038.541","316092273276.015","336280064332.411","389185571506.052","432051935642.945","401758735822.211","392275107258.677","431685217367.514","409401816050.531","430190979705.965","442584815286.027","381971148530.543","395837353031.51","417261151844.981","454991174096.094","444621176100.54","435225238000.43","480368403893.364","471400066091.247",
"Azerbaijan","AZE","GDP (current US$)","NY.GDP.MKTP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8858006042.29607","5344000000","444658671.586716","1570392598.14954","1193141110.35043","2417332562.22184","3176507991.73964","3962362387.47922","4446370371.15023","4581246713.32066","5272617196.04517","5707618246.56848","6236086669.17539","7276413079.11451","8680410157.5717","13245421880.834","20981929497.6188","33049426816.4448","48851318825.7152","44292408816.638","52909294791.9262","65952763948.839","69679913509.9091","74160553008.7311","75239737488.8044","53076244754.5037","37867007022.7844","40866632047.8414","47112479289.4186","48174235294.1176","42693000000","54825411764.7059","78721058823.5294",
"Burundi","BDI","GDP (current US$)","NY.GDP.MKTP.CD","195999989.80792","202999991.80106","213500005.79077","232749997.771905","260750007.744465","158994962.811977","165444571.263127","178297142.678846","183199999.8168","190205714.095509","242732571.185839","252842285.482514","246804571.428571","304339839.552146","345263492.063492","420986666.666667","448412753.623188","547535555.555556","610225555.555556","782496666.666667","919726666.666667","969046666.666667","1013222222.22222","1082926304.46477","987143931.166987","1149979285.77347","1201725497.06578","1131466494.01101","1082403219.48787","1113924130.41149","1132101252.51817","1167398478.3459","1083037670.60484","938632612.026359","925030590.153683","1000428393.88528","869033856.317093","972896267.915425","893770739.54206","808077223.365746","870486065.883137","876794723.068586","825394519.71933","784654423.620476","915257323.3961","1117113080.08074","1273375078.44844","1356199386.79629","1611835856.59275","1781455140.34202","2032135191.46211","2235820808.72908","2333341334.45753","2451606631.76696","2705783330.38796","3104003545.60675","2644487777.23693","2723586962.18686","2667182198.97925","2576518879.39881","2649680261.01097","2775798697.16485","3073414677.84385",
"Belgium","BEL","GDP (current US$)","NY.GDP.MKTP.CD","11658722590.99","12400145221.595","13264015675.3193","14260017387.0492","15960106680.6732","17371457607.9374","18651883472.4808","19992040788.4593","21376353113.475","23710735894.7022","26706196046.7931","29821661869.912","37209418018.5134","47743801490.3747","56033077879.0389","65678189097.2908","71113882967.6071","82839905458.6382","101246526194.441","116315456796.918","126829314388.191","104730018470.23","92095926187.5331","87184239053.2544","83349530159.1734","86268264148.3796","120018787249.413","149394404105.889","162299103675.261","164221056511.057","205331747947.851","210510999409.333","234781652446.675","224721795708.955","244884129491.198","288025588396.278","279201433224.756","252708051420.839","258528339631.029","258245733221.468","236792460312.471","236746141604.37","258383599375.177","318082528506.588","369214712443.206","385714762230.039","408259840868.823","470922156309.453","517328087920.078","483254171097.812","481420882905.012","523330354138.137","496152879924.727","521791015247.064","535390200131.009","462335574841.484","476062757356.94","502764720556.358","543299066998.892","535865692402.342","525213067068.319","594351961634.487","578604103123.349",
"Benin","BEN","GDP (current US$)","NY.GDP.MKTP.CD","226195578.067006","235668220.872225","236434954.341059","253927697.573028","269819005.7911","289908680.180676","302925235.697428","306221953.364724","326323105.58513","330748244.092696","333627713.462036","335073027.92408","410331856.237969","504376074.065261","554654861.53714","676870139.263848","698408261.141673","750049780.163916","928843468.468714","1186231018.35731","1405251843.78221","1291120190.56764","1267778671.52033","1095348199.36832","1051134009.29975","1045712789.8201","1336102026.99646","1562412225.8134","1620246084.77733","1502294413.87362","1959965330.47596","1986437797.87672","1695315305.70308","2274558078.74486","1598075944.85876","2169627138.34967","2361116448.13525","2268301645.09367","2455092688.14767","3677393996.83788","3519991440.32367","3666222633.8361","4194342689.26284","5349258092.89147","6190270377.07583","6567654958.75337","7034111316.29951","8169048374.70846","9787734516.74186","9738626509.93368","9535345011.48728","10693321370.0352","11141358105.9864","12517845127.6766","13284527850.2627","11388160997.1088","11821065852.127","12701655845.9622","14262408079.7005","14391686309.0337","15651545208.8771","17690083519.9322","17401746309.266",
"Burkina Faso","BFA","GDP (current US$)","NY.GDP.MKTP.CD","330442815.284328","350247234.801719","379567099.735017","394040667.595114","410321644.832548","422916789.389845","433889767.020676","450753923.930489","460442689.828422","478298644.747585","458404268.71745","482411179.672461","578595520.928003","674773569.716408","751133431.579496","939972701.96644","976547186.963356","1131224880.18434","1475583643.40628","1748480618.36735","1928719884.42114","1775842336.50916","1754450097.84433","1600278605.15123","1459880132.84934","1552493197.28083","2036303360.30075","2369834946.56655","2616040480.57952","2615587729.97265","3101300779.08364","3135045586.20845","3356692508.3457","3199536459.58343","1895290638.27038","2379517975.75103","2586550594.03222","2447669100.46978","2804902369.20398","3389566710.90266","2968370087.46649","3190371079.81411","3622350065.5903","4740768141.265","5451688534.59524","6146353177.43367","6547419821.69486","7625722829.17892","9451435480.94322","9450696866.48276","10109619736.1442","12080295984.7682","12561015145.3925","13444300489.8634","13943016080.2646","11832159315.9778","12833363043.9719","14106955625.3571","15890066209.8959","16178161666.1334","17933606212.6294","19737616003.022","18884619613.4388",
"Bangladesh","BGD","GDP (current US$)","NY.GDP.MKTP.CD","4274893913.49536","4817580183.60155","5081413339.78635","5319458351.16235","5386054619.34987","5906636557.00092","6439687598.32325","7253575399.3215","7483685473.51275","8471006100.95399","8992721809.39332","8751842839.79658","6288245866.66667","8086725729.3407","12512460519.7088","19448348073.4565","10117113333.3333","9651149301.8746","13281767142.8571","15565480321.9448","18138049095.6072","20249694002.448","18525399201.5968","17609048821.5488","18920840000","22278423076.9231","21774033333.3333","24298032258.0645","26579005760.2634","28781714763.8909","31598341233.463","30957483949.5798","31708874594.1645","33166519417.9894","33768660882.793","37939748768.6567","46438484107.5795","48244309133.4895","49984559471.3656","51270569883.5275","53369787318.6245","53991289844.3291","54724081490.5102","60158929188.2556","65108544250.0425","69442943089.4309","71819083683.7403","79611888213.148","91631278239.3237","102477779060.302","115279077465.226","128637983882.833","133355819704.936","149990529207.544","172885432686.945","195078574089.067","265236389198.948","293754769935.148","321379163135.647","351238397263.802","373902196399.317","416264802185.166","460201000095.101",
"Bulgaria","BGR","GDP (current US$)","NY.GDP.MKTP.CD","","","","","","","","","","","","","","","","","","","","","19839230769.2308","19870000000","19342000000","16563666666.6667","17594944444.4444","17155421052.6316","20249294117.6471","28101000000","22555941176.4706","21988444444.4444","20632090909.0909","10943548387.0968","10350515463.9175","10832228507.2315","9697416974.16974","18991531542.7083","12294987876.3121","11316126257.5839","15031052200.5463","13627325461.1743","13245990274.4581","14183443861.6902","16403043849.8297","21144962058.2885","26157744752.7834","29868651533.1188","34380543845.3973","44432811756.4731","54480697770.0773","52023813557.8158","50754203890.7341","57735709913.8851","54290156342.3767","55844245263.8012","57159557804.6461","50828088835.9428","53987487124.3421","59343060705.828","66399602077.1693","68911930627.8977","70404359049.232","84061395658.221","89040398406.3745",
"Bahrain","BHR","GDP (current US$)","NY.GDP.MKTP.CD","","","","","","","","","","","","","","","","","","","","","3072698328.46909","3467819158.15909","3645744690.54719","3735106392.91252","3905585110.71098","3651861702.12766","3052393617.02128","3392021010.6383","3702393617.02128","3863563829.78723","4229787234.04255","4616223404.25532","4751063829.78723","5200266107.27717","5567553975.70316","5849468272.89759","6101861963.59179","6349202984.63326","6183777212.47778","6621010739.19607","9062898936.17021","8976196808.51064","9593510638.29787","11074813829.7872","13150159574.4681","15968723404.2553","18504760638.2979","21730000000","25710904255.3191","22938218085.1064","25713271276.5957","28776595744.6809","30749308510.6383","32539468085.1064","33387712765.9574","31050638297.8723","32234973404.2553","35473776595.7447","37802005319.1489","38653318085.1064","34621807712.766","39303403989.3617","44390820478.7234",
"Bahamas, The","BHS","GDP (current US$)","NY.GDP.MKTP.CD","169803921.568627","190098039.215686","212254901.960784","237745098.039216","266666666.666667","300392156.862745","340000000","390196078.431373","444901960.784314","528137254.901961","538423153.692615","573400000","590900000","670900000","632400000","596200000","642100000","713000000","832400000","1139800100","1335300000","1426500000","1578300000","1732800000","2041100000","2320699900","2472500000","2713999900","2817900000","3062000000","3166000000","3111160000","3109000000","3092000000","3259000000","3429000000","3609000000","6332360000","6833220000","7683870000","8076470000","8317830000","8881160000","8870090000","9055290000","9836200000","10167250000","10618340000","10526000000","9981960000","10095760000","10070450000","10720500000","10562800000","11176100000","11672900000","11750800000","12253500000","12653600000","13058700000","9754600000","11527600000","12897400000",
"Bosnia and Herzegovina","BIH","GDP (current US$)","NY.GDP.MKTP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1255802469.1358","1866572953.73665","2786045321.63743","3671910025.96515","4116775275.40595","4686255380.52593","5567774049.09534","5800616572.16444","6728219506.73943","8498893357.96025","10156541358.1787","11222796196.6789","12864842268.5435","15778737117.2987","19112801196.8583","17613946109.0187","17176320823.1892","18644239027.714","17226736284.8232","18179104548.8804","18558731212.8666","16404352155.614","17116926092.3905","18326376394.0796","20484048415.5019","20482603346.4473","20226030731.0131","23649566069.2355","24527507287.7962",
"Belarus","BLR","GDP (current US$)","NY.GDP.MKTP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21650000000","18000000000","17037037037.037","16280991735.5372","14932024169.1843","13972676840.918","14756846153.8462","14128408565.7064","15222012660.4232","12138486532.0203","12736856827.9847","12354820143.8849","14594928109.4411","17825437482.8613","23141593073.9738","30210091836.8294","36961822468.2015","45275747157.412","60752177438.8895","50873181571.649","57231904542.8755","61762340943.0511","65685903570.4526","75527537703.1836","78812785767.7483","56454895054.6555","47723549319.0842","54725311690.0478","60031163987.191","64410112583.362","61371755326.2351","69673747131.87","72793457588.4367",
"Belize","BLZ","GDP (current US$)","NY.GDP.MKTP.CD","28072478.0640563","29964999.9560105","31857591.8480346","33750113.7399887","36194586.1837278","40110040.0980071","44450044.4367095","47431266.6525823","44999909.98218","47399905.1812296","53339893.2988773","59074682.9503819","65998075.7259362","78214778.3120372","103160463.464838","118194045.559385","97094221.4859929","117650000","136300000","151800000","197938222.43","196089854.655","182206326.985","192103185.955","214381949.02","212643742.665","231638320.535","281082558.585","320093360.27","369133890.705","549500000","599000000","693500000","751000000","771500000","818500000","851500000","868000000","914000000","975000000","1116000000","1163000000","1233000000","1298000000","1389500000","1461500000","1581000000","1696000000","1729000000","1680500000","1738500000","1819500000","1903000000","2029500000","2138000000","2210500000","2258500000","2286000000","2315000000","2416500000","2080000000","2491500000","2824081836.19867",
"Bermuda","BMU","GDP (current US$)","NY.GDP.MKTP.CD","84466654.0769119","89249986.6972895","94149985.9669446","96366652.3032171","107566650.633857","114339048.965166","134173373.785653","155102984.627334","150000000","164900000","186300000","211100000","235400000","269500000","312600000","345000000","386300000","447000000","475800000","517200000","613299968","739100032","785500032","889400000","985699968","1039500032","1173500032","1296499968","1415100032","1501500032","1592400000","1634900000","1679900000","1820359900","1867160100","2030750000","2695390000","2932827000","3130748000","3324433000","3480219000","3680483000","3937228000","4186525000","4484703000","4868136000","6144000000","6767000000","6980000000","6656000000","6634526000","6312691000","6378188000","6465756000","6413988000","6654541000","6899911000","7142316000","7225977000","7423465000","6887147000","7127200000","7550500000",
"Bolivia","BOL","GDP (current US$)","NY.GDP.MKTP.CD","377020202.020202","410101010.10101","448400673.400673","482828282.828283","544023569.023569","604377104.377104","669191919.191919","755808080.808081","857912457.912458","929629629.62963","1017003367.00337","1095622895.6229","1257615644.97932","1262968515.74213","2100249875.06247","2404697651.17441","2731984007.996","3227436281.85907","3758220889.55522","4421336382.94397","4537487802.50257","5891606684.8883","5594121317.37407","5422656265.83789","6169483188.83417","5377276555.06886","3959382833.0878","4347956337.83337","4597612362.09771","4715972853.37585","4867582597.52327","5343261959.67632","5643869230.99931","5734699040.65963","5981223290.32467","6715162198.52406","7396948397.53774","7925736318.63679","8497494138.07289","8285063959.43162","8397855937.46841","8141517339.15215","7905485146.44351","8082399991.29583","8773451751.5121","9549122313.39641","11451845378.6897","13120107738.8851","16674276979.4745","17339992193.7322","19649724655.5819","23963162969.3832","27084497481.9103","30659338885.6729","32996188017.3661","33000198248.9146","33941126193.9219","37508642170.767","40287647930.5355","40895322850.9407","36629843806.0781","40408208523.8784","43068885672.9378",
"Brazil","BRA","GDP (current US$)","NY.GDP.MKTP.CD","17030465539.3906","17275940449.3837","19231747851.5332","23287712878.2002","20963733694.9749","22465522884.0988","28283323733.1114","31086389194.961","33930457425.2613","37171640818.5863","42327664793.6934","48869830901.7878","58434858374.8696","83592275862.9982","109794519727.538","129203555238.827","153168949208.207","176344101401.941","200278646123.581","221338204480.222","237393489892.637","258015174748.648","271314113768.417","189656506321.431","188339974086.58","210879844638.877","256480852471.129","283056836893.838","307881930752.268","412990820287.42","464989098144.854","407729053018.907","390566561752.671","438299504463.02","546229749726.263","769333330439.52","850426432991.742","883206452832.811","863711007338.683","599642075039.049","655448188246.11","559983704075.658","509795270707.268","558233724160.742","669289321953.683","891633826582.606","1107626711436.44","1397114247287.58","1695855391816.48","1666996294324.76","2208838108593.19","2616156606734.51","2465228293862.62","2472819362259","2456043766063.5","1802211999555.59","1795693265824.27","2063514688761.67","1916933708404.16","1873288159000.64","1476107292036.59","1649622972159.35","1920095560995.06",
"Barbados","BRB","GDP (current US$)","NY.GDP.MKTP.CD","","","","","","","","","","","","","","","311804643.275147","402178605.019554","435911268.58968","495097667.929041","552883707.055138","670362452.145379","1012280614.52792","1114204743.20091","1163923830.35847","1236016506.73694","1346890071.09829","1409536120.91682","1547755183.21484","1704370307.76115","1812757917.76463","2006165166.80754","2012131457.26644","2020583702.08323","1957000000","2063342117.03873","2151344901.30761","2216974096.35559","2363645403.47039","2498384129.66738","2817083478.34734","2951822204.54432","3059500000","3054500000","3106500000","3209500000","3444500000","3819500000","4217450800","4674007450","4784925100","4465657300","4529928300","4657699450","4610096000","4677248300","4696344350","4724691200","4832811750","4981588900","5097283200","5324250000","4671800000","4843800000","5637914514.6379",
"Brunei Darussalam","BRN","GDP (current US$)","NY.GDP.MKTP.CD","","","","","","114039500.514481","132757527.954984","139029537.149708","160818235.758462","161210236.333132","179078929.195183","197525739.976803","270822794.672458","433095587.469864","1073591771.22042","1168304306.10676","1423037359.4965","1732721161.47394","1941579358.89798","2803833729.76268","4928805777.2815","4366231073.11486","4264202522.65907","3844632168.59262","3782552643.47893","3523532486.95521","2358574763.85308","2754485236.50868","2690684124.87422","2985531762.88612","3520486979.54981","3701774188.88021","4183633796.47628","4105729444.14733","4087219772.89949","4734103536.46706","5115454694.27896","5197312555.4576","4051143193.1732","4600117603.79321","6001280943.71691","5601020247.27601","5843367180.06094","6557395815.59539","7872201250.91582","9531417164.46943","11470462364.6891","12247680702.8059","14393437610.2552","10732592999.3918","13707275498.0569","18525128229.6754","19048443089.2531","18094326392.7086","17097801091.9771","12930292949.4216","11400467372.4943","12128182463.596","13567164444.9707","13469240162.5496","12005795914.7306","14006497000.2477","16681531645.7347",
